"Nome","Endereço","Endereço.2"
"Capim Santo","Alameda Min. Rocha Azevedo, 471 - Jardins, 01410-001 São Paulo - SP, Telefone: (11) 3089-9500www.capimsanto.com.br","Embaixada da gastronomia brasileira contemporânea, o Capim Santo se tornou referência internacional com o cardápio criado pela Chef Morena Leite, que mescla a tropicalidade de Trancoso com a técnica Cordon Bleu."
"Ecully ","Rua Cotoxó, 493 , 05021-000 Vila Pompeia, São Paulo - SP, (11) 3853-3933www.ecully.com.br","Écully (com acento) é uma cidadezinha francesa próxima a Lyon, capital da gastronomia francesa. Lá, fica o Institut Paul Bocuse, escola de gastronomia onde o Guilherme e a Juliana se conheceram, ou seja, onde toda essa história de gastronomia começou."
"El Carbón ","R. Pamplona, 1704, Jardim Pamplona Shopping Rooftop - 4 andar , 01405-002 Jardim Paulista, São Paulo - SP, (11) 4171-0727www.elcarbon.com.br","O ambiente projetado por André Rodrigues (Loudtt) é moderno e descolado, inspirado em estabelecimentos de NY. O espaço é dividido entre salão interno, lounge com bar e mesas na área externa. Há música ambiente e um DJ convidado todas as quintas-feiras. A carta de vinhos abrange cerca de 80 rótulos."
"Hospedaria","R. Borges de Figueiredo, 82, 03110-010 Mooca, São Paulo - SP, (11) 2291-5629www.restaurantehospedaria.com.br","Restaurante que faz parte do movimento de revitalização do bairro da Mooca. O conceito da casa é servir receitas de família baseadas nas adaptações que os imigrantes faziam em suas cozinhas ao chegarem ao Brasil, desde o ínicio do século XX até os dias de hoje. A cozinha fica aos cuidados dos chefs Fellipe Zanuto e Lucas Dante"
"ICI Bistrô","R. Pará, 36, 01243-020 Consolação São Paulo - SP, (11) 3259-6896www.icibistro.com.br","Inspirada nos clássicos bistrôs franceses, a casa é comandada pelo chef Benny Novak e o restaurateur Renato Ades desde 2002. Hoje, 15 anos e muitos prêmios depois, se firmou como um dos principais endereços da culinária francesa na capital paulistana. Steak tartare, moules frites, escargots à la bourguignonne, thon mi-cuit, magret de carnard, carré d'agneau e pain perdu são alguns dos pratos icônicos do bistrô."
"Ilha das Flores","R. Curumins, 5, 05672-010 Cidade Jardim, São Paulo - SP, (11) 3031-5644www.ilhadasflores.com.br","O Ilha das Flores é um dos bares mais atraentes da cidade, destino obrigatório das décadas de 90 e 2000, e atravessando os anos no mesmo endereço: um passo do Shopping Cidade Jardim ao lado da Marginal Pinheiros. Ao mesmo tempo recolhido, quase escondido em uma rua sem saída. De cara nova, o bar é considerado um excelente destino gastro-etílico."
"Jamile","R. Treze de Maio, 647, 01326-010 Bela Vista, São Paulo - SP, (11) 2985-3005www.jamilerestaurante.com.br","O Jamile foi inaugurado em setembro de 2015 pelos sócios Anuar Tacach, Alberto Hiar e Henrique Fogaça, chef de cozinha e responsável pelo cardápio oferecido. A ideia do trio é oferecer ao público um ambiente moderno, com boa gastronomia, diversas opções de vinho e também drinques autorais. É um ótimo lugar para reunir família, encontrar os amigos ou, até mesmo, fechar negócios. A casa está localizada no bairro do Bixiga, que foi escolhido pela tradição histórica e gastronômica que representa para a cidade de São Paulo. O espaço tem a assinatura do projeto arquitetônico de Rafic Farah e paisagismo de Marcelo Faisal. O salão é amplo e tem referências industriais em sua composição, além de toda a cozinha ser aberta para o público observar. Fora isso, a casa ainda aposta em rooftop, com chão de madeira e teto retrátil, que é ótima opção para a realização de eventos. Também há uma parede para projeções de vídeos e jogos. O nome Jamile é uma homenagem à mãe de Hiar."
"La Casserole","Largo do Arouche, 346 , 01219-010 República, São Paulo - SP, (11) 3331-6283www.lacasserole.com.br","Em 1954, Roger e Fortunée Henry escolheram abrir o restaurante à frente do romântico mercado de flores do Arouche. Desde então, elas recriam a atmosfera parisiense, enfeitando o salão de dentro e de fora da janela. Marie assumiu em 1987 e agora o La Casserole recebe a terceira geração dos Henry: Leo e Marie dividem a gestão do restaurante mantendo o espírito de sempre no qual tradição e inovação convivem harmoniosamente."
"La Mar","R. Amauri, 328, 01406-200 Jardim Europa - São Paulo - SP, (11) 3073-1213www.lamarcebicheria.com.br","A gastronomia nova-andina nunca foi tão almejada em toda sua história. Esperada pelos gourmets brasileiros e indicada como uma das próximas grandes cozinhas pelos principais chefs do mundo, a gastronomia peruana desembarcou em São Paulo em 2009 através da rede La Mar e com a chancela do seu principal difusor, o chef Gastón Acurio. A unidade paulistana segue à risca o estilo de todos os restaurantes espalhados pelo mundo, mantendo a natural e costumeira alegria das cebicherias, no que envolve serviço, ambiente, música e, claro, o absoluto respeito a autenticidade de sua cozinha."
"Le Bife","R. Pedroso Alvarenga, 1088, 04531-004 Itaim Bibi, São Paulo - SP, (11) 4324-0783www.lebife.com.br","Sob o comando do masterchef Érick Jacquin, o Le Bife é mais que um restaurante especializado em carnes. É um novo conceito gastronômico inspirado no modelo francês 'Bistronomia', onde chefs de renome em restaurantes despojados e com preço justos, preparam deliciosos pratos."
"Margot Bistrot & Café","R. Antônio de Macedo Soares, 1683, 04607-003 Campo Belo, São Paulo - SP, (11) 2309-9515www.margotbistrot.com.br","O Margot Bistrot, Café e Bar é um lugar que vai conquistar você, não somente pelo estômago, mas também pelo olhar. Com excelente infraestrutura, atendimento de qualidade e decoração ímpar, ele charmoso e aconchegante. Seus quatro ambientes, planejados com primor, fazem com que a casa seja ideal para reunir amigos, família e realizar eventos. Embora seu requinte indique o contrário, seus preços são modestos. Por conta disso e de muito mais (que você vai descobrir ao visitar e revisitar o bistrô), é que este lugar certamente entrará para o seu top list de ‘favoritos’."
"MiCi Restaurante","R. Min. Ferreira Alves, 244, 05009-060 Vila Pompeia - São Paulo - SP, (11) 3871-5294www.micirestaurante.com.br","Aberto no início de 2017 pela chef Cintia Piubelli e pela restauratrice Michele Reis, o nome da casa - formado pelas iniciais dos nomes das proprietárias - reflete o conceito despretensioso do lugar: Michele atende pessoalmente os clientes enquanto Cintia não arreda o pé da cozinha. O restaurante ganhou cardápio de tons contemporâneos a preços que cabem no bolso e se destaca por valorizar ingredientes brasileiros e mesclá-los a receitas e sabores clássicos de diversas partes do mundo."
"Pecorino Bar & Trattoria","JARDIM PAULISTA: Alameda Joaquim Eugênio de Lima, 1706 – Tel.: (11) 2339-2887 / SHOPPING VILA OLIMPIA: R. Olimpíadas, 360, Loja 404 – Tel.: (11) 3044-5879 / VN CONCEIÇÃO: R. Domingos Leme, 687, Tel.: (11) 3842-2375www.pecorino.com.br","A rede Pecorino Bar & Trattoria, por meio de ingredientes selecionados, em boa parte importados da Itália, soube exatamente como trazer parte da Itália para o Brasil. Tradição e modernidade andam juntas e proporcionam momentos incríveis aos fãs da boa comida, não só com um cardápio diverso, mas também com um ambiente aconchegante."
"Pecorino Cucina Mediterrânea","ITAIM BIBI: Av. Horácio Lafer, 517 - Tel.: (11) 2337-0211 / PINHEIROS: R. Natingui, 1558 - Tel.: (11) 3554-3432www.pecorino.com.br"," "
"Piselli","R. Padre João Manuel, 1253, 01411-000 Cerqueira César, São Paulo - SP, (11) 3081-6043www.piselli.com.br","Em 31 de julho de 2004, em seu aniversário de 35 anos, Juscelino Pereira inaugurou o Restaurante Piselli. O nome, que significa “ervilha”, em italiano, não foi escolhido de forma aleatória. Quando adolescente, ele decidiu plantá-la em Joanópolis, cidade em que nasceu, na região da Serra da Mantiqueira. Escolheu a leguminosa, já que não existia na região. Seria o início de sua vida como agricultor. Mas a plantação não deu certo, pois as sementes eram de ervilha torta e não aquela em grãos e deveriam ter sido colhidas antes. Com a decepção da perda, Juscelino mudou-se para São Paulo e trabalhou em diversos restaurantes, em diversas funções, até montar o Piselli. A escolha do nome é uma homenagem à leguminosa que transformou sua vida. A culinária do Piselli traz receitas clássicas da Itália e inspirações da região norte, em especial o Piemonte. A carta de vinhos possui 130 rótulos, sendo em sua maioria italianos, incluindo vinhos exclusivos de importação própria, europeus e do Novo Mundo."
